epoch,adam_stiefel,gradient_stiefel,momentum_stiefel
25,4.40e-04,2.20e-05,2.10e-05
50,7.80e-04,5.70e-05,4.60e-05
75,1.20e-03,8.30e-05,6.50e-05
100,1.60e-03,1.00e-04,8.20e-05
125,2.00e-03,1.20e-04,1.00e-04
150,2.40e-03,1.30e-04,1.20e-04
175,2.80e-03,1.40e-04,1.30e-04
200,3.20e-03,1.70e-04,1.40e-04
225,3.60e-03,1.90e-04,1.60e-04
250,4.10e-03,2.10e-04,1.80e-04
275,4.50e-03,2.30e-04,2.00e-04
300,4.90e-03,2.50e-04,2.20e-04
325,5.40e-03,2.70e-04,2.40e-04
350,5.80e-03,3.00e-04,2.60e-04
375,6.30e-03,3.20e-04,2.80e-04
400,6.80e-03,3.40e-04,2.90e-04
425,7.20e-03,3.60e-04,3.10e-04
450,7.70e-03,3.90e-04,3.20e-04
475,8.10e-03,4.10e-04,3.40e-04
500,8.60e-03,4.30e-04,3.50e-04
