epoch,adam_stiefel,adam_regular,gradient_stiefel,momentum_stiefel
1,0.989535,1.276802,1.042782,1.019869
2,0.856862,1.294899,0.990771,0.971123
3,0.825362,1.342673,0.975369,0.956536
4,0.810494,1.342691,0.966015,0.945490
5,0.796160,1.342665,0.958834,0.935239
6,0.784234,1.342550,0.953031,0.926879
7,0.776615,1.342464,0.947523,0.919871
8,0.765047,1.342528,0.942368,0.913336
9,0.747562,1.342662,0.937253,0.905282
10,0.738284,1.342599,0.932438,0.894014
11,0.729037,1.342678,0.928323,0.882364
12,0.720738,1.342811,0.924762,0.874125
13,0.714192,1.342613,0.921338,0.867894
14,0.685895,1.342735,0.918314,0.863032
15,0.665538,1.342612,0.915213,0.858590
16,0.638746,1.342475,0.911993,0.854630
17,0.624434,1.342558,0.908682,0.851145
18,0.612619,1.342462,0.904615,0.847720
19,0.603470,1.342388,0.899643,0.844546
20,0.605256,1.342614,0.893910,0.841839
21,0.591876,1.342589,0.887589,0.839267
22,0.589749,1.342612,0.882028,0.836845
23,0.575269,1.342650,0.877261,0.834448
24,0.572783,1.342515,0.873482,0.832299
25,0.565652,1.342559,0.870145,0.830111
26,0.564402,1.342791,0.867241,0.828115
27,0.562240,1.342690,0.864548,0.826188
28,0.550905,1.342594,0.862079,0.824242
29,0.551349,1.342422,0.859828,0.822505
30,0.549554,1.342650,0.857588,0.820685
31,0.540791,1.342591,0.855650,0.819102
32,0.538587,1.342737,0.853741,0.817482
33,0.533093,1.342628,0.851947,0.815971
34,0.526755,1.342630,0.850167,0.814486
35,0.524458,1.342635,0.848724,0.813245
36,0.524822,1.342601,0.846968,0.811741
37,0.516103,1.342539,0.845356,0.810251
38,0.520899,1.342691,0.843867,0.808911
39,0.514271,1.342637,0.842358,0.807559
40,0.509021,1.342640,0.841232,0.806623
41,0.510717,1.342764,0.839833,0.805322
42,0.509885,1.342498,0.838546,0.804168
43,0.508897,1.342589,0.837252,0.803031
44,0.501010,1.342462,0.836225,0.802158
45,0.491680,1.342487,0.835091,0.801208
46,0.503131,1.342596,0.834042,0.800310
47,0.496076,1.342533,0.833053,0.799319
48,0.490764,1.342488,0.831848,0.798341
49,0.489012,1.342575,0.830685,0.797210
50,0.484042,1.342637,0.829763,0.796503
51,0.484048,1.342548,0.828836,0.795714
52,0.474372,1.342710,0.827647,0.794584
53,0.479040,1.342716,0.826750,0.793822
54,0.472975,1.342484,0.825754,0.792982
55,0.478883,1.342611,0.824747,0.792126
56,0.471081,1.342601,0.823843,0.791271
57,0.469239,1.342793,0.823007,0.790584
58,0.466904,1.342632,0.822120,0.789796
59,0.466941,1.342511,0.821134,0.788978
60,0.470599,1.342815,0.820408,0.788302
61,0.460689,1.342648,0.819382,0.787373
62,0.456282,1.342567,0.818969,0.787120
63,0.452477,1.342735,0.818011,0.786221
64,0.453981,1.342598,0.817133,0.785465
65,0.448704,1.342634,0.816406,0.784818
66,0.448179,1.342527,0.815727,0.784193
67,0.443124,1.342712,0.814989,0.783583
68,0.443772,1.342578,0.813974,0.782554
69,0.458176,1.342578,0.813358,0.782068
70,0.441564,1.342624,0.812723,0.781596
71,0.443408,1.342642,0.811888,0.780762
72,0.436665,1.342686,0.811284,0.780189
73,0.453268,1.342447,0.810665,0.779637
74,0.437134,1.342526,0.809808,0.778827
75,0.433441,1.342504,0.809187,0.778333
76,0.428551,1.342792,0.808841,0.778056
77,0.433783,1.342502,0.808051,0.777352
78,0.433275,1.342575,0.807427,0.776684
79,0.421271,1.342687,0.806647,0.775949
80,0.423376,1.342599,0.806003,0.775333
81,0.425031,1.342660,0.805646,0.775042
82,0.422790,1.342576,0.805228,0.774680
83,0.417520,1.342635,0.804692,0.774119
84,0.425537,1.342575,0.803759,0.773193
85,0.422274,1.342587,0.803409,0.772881
86,0.415013,1.342567,0.802858,0.772376
87,0.417645,1.342577,0.802292,0.771804
88,0.425762,1.342592,0.801836,0.771361
89,0.415081,1.342624,0.801382,0.770927
90,0.410689,1.342580,0.800769,0.770308
91,0.412770,1.342602,0.800240,0.769816
92,0.407601,1.342459,0.799559,0.769121
93,0.405927,1.342753,0.799116,0.768648
94,0.407097,1.342677,0.798797,0.768353
95,0.401047,1.342451,0.798175,0.767815
96,0.400071,1.342624,0.797976,0.767557
97,0.399477,1.342648,0.797282,0.766780
98,0.417793,1.342562,0.796963,0.766518
99,0.405213,1.342563,0.796324,0.765975
100,0.403269,1.342604,0.795746,0.765323
101,0.404100,1.342627,0.795336,0.764870
102,0.399024,1.342625,0.795097,0.764603
103,0.392451,1.342576,0.794689,0.764197
104,0.387681,1.342591,0.794089,0.763609
105,0.383388,1.342653,0.793573,0.763106
106,0.396818,1.342612,0.793376,0.762891
107,0.391278,1.342577,0.792900,0.762470
108,0.385038,1.342630,0.792446,0.761987
109,0.385341,1.342727,0.792049,0.761580
110,0.376953,1.342548,0.791650,0.761162
111,0.387368,1.342675,0.791220,0.760694
112,0.388742,1.342325,0.790905,0.760373
113,0.392587,1.342524,0.790332,0.759823
114,0.386768,1.342513,0.790103,0.759637
115,0.383965,1.342502,0.789738,0.759235
116,0.380061,1.342563,0.788990,0.758450
117,0.377402,1.342515,0.788872,0.758338
118,0.375424,1.342664,0.788644,0.758189
119,0.387676,1.342601,0.787940,0.757310
120,0.374146,1.342584,0.787654,0.757120
121,0.372213,1.342662,0.787386,0.756911
122,0.364999,1.342764,0.786925,0.756410
123,0.375383,1.342474,0.786802,0.756343
124,0.378243,1.342487,0.786217,0.755771
125,0.370247,1.342547,0.785787,0.755310
126,0.372876,1.342537,0.785577,0.755035
127,0.366941,1.342490,0.785466,0.754993
128,0.373818,1.342535,0.785040,0.754575
129,0.363832,1.342601,0.784637,0.754183
130,0.355189,1.342713,0.784302,0.753864
131,0.365867,1.342527,0.784007,0.753507
132,0.362152,1.342582,0.783691,0.753217
133,0.359621,1.342548,0.783262,0.752889
134,0.362941,1.342585,0.782915,0.752499
135,0.362437,1.342487,0.782651,0.752228
136,0.351053,1.342663,0.782321,0.751978
137,0.352788,1.342523,0.782035,0.751608
138,0.365123,1.342531,0.781600,0.751211
139,0.355364,1.342776,0.781160,0.750825
140,0.364991,1.342511,0.780883,0.750453
141,0.359764,1.342739,0.780882,0.750454
142,0.349967,1.342388,0.780237,0.749828
143,0.349284,1.342488,0.780088,0.749736
144,0.346212,1.342601,0.779673,0.749360
145,0.355884,1.342614,0.779516,0.749229
146,0.352219,1.342602,0.778979,0.748636
147,0.345258,1.342437,0.778820,0.748557
148,0.339915,1.342649,0.778450,0.748195
149,0.350703,1.342563,0.778129,0.747883
150,0.344356,1.342604,0.777827,0.747559
151,0.347001,1.342576,0.777864,0.747563
152,0.346054,1.342549,0.777416,0.747183
153,0.347236,1.342604,0.776956,0.746862
154,0.351413,1.342692,0.776788,0.746681
155,0.337645,1.342591,0.776405,0.746179
156,0.339389,1.342738,0.776106,0.745908
157,0.340703,1.342424,0.775766,0.745643
158,0.339582,1.342574,0.775768,0.745693
159,0.342751,1.342510,0.775476,0.745382
160,0.329396,1.342551,0.775023,0.744915
161,0.331432,1.342639,0.774716,0.744663
162,0.335986,1.342466,0.774482,0.744434
163,0.334852,1.342548,0.774152,0.744185
164,0.331822,1.342497,0.773885,0.743921
165,0.333767,1.342540,0.773708,0.743796
166,0.337265,1.342613,0.773327,0.743383
167,0.341782,1.342535,0.773199,0.743279
168,0.333286,1.342487,0.772908,0.743043
169,0.320781,1.342564,0.772685,0.742726
170,0.324129,1.342601,0.772623,0.742816
171,0.324401,1.342554,0.772339,0.742397
172,0.320385,1.342647,0.771779,0.741925
173,0.332566,1.342486,0.771722,0.741994
174,0.348862,1.342578,0.771354,0.741507
175,0.328107,1.342501,0.770940,0.741204
176,0.329080,1.342737,0.770809,0.741041
177,0.329623,1.342526,0.770548,0.740788
178,0.329399,1.342611,0.770084,0.740385
179,0.324779,1.342351,0.769818,0.740133
180,0.314029,1.342410,0.769886,0.740180
181,0.326561,1.342612,0.769621,0.739991
182,0.322895,1.342687,0.769402,0.739777
